OBJECTID,EVALUATION_YEAR,EVALUATION_DATE,YEAR_OF_HARVEST,STREAM_NAME,STREAM_CLASS_IN_FIELD,CHANNEL_DEPTH,CHANNEL_WIDTH,CHANNEL_GRADIENT_PCT,bcalbers_easting,bcalbers_northing
258,2006,2006-09-05,2002,STREAM 1,S3,,4,9,576530.7904,924943.9357
259,2006,2006-07-26,1998,UNKNOWN,S3,,3.5,8,948081.3812,1185641.757
260,2006,2006-08-22,1999,VII,S6,,0.8,2,940177.1275,1161129.78
261,2006,2006-08-05,2001,JONAS CREEK,S5,,3.2,4,908246.7968,1071336.529
262,2006,2006-08-25,2002,STREAM 1,S4,,0.5,7,870006.7613,1133361.644
263,2006,2006-08-30,2001,STREAM #1,S6,,0.8,20,1561119.87,534241.7069
264,2006,2006-06-28,1998,TAYLOR CREEK,S3,,3.2,5,1226196.443,802506.2884
265,2006,2006-07-20,1999,UNNAMED S6,S6,,0.8,6,1366042.801,815192.6316
266,2006,2006-07-25,2003,GAVIN CREEK,S3,,3.5,1,1286873.554,839874.2917
267,2006,2006-06-13,1999,2,S6,,1,20,1293410.779,488400.8486
268,2006,2006-09-12,2001,STREAM 1,S6,,1,45,1001463.149,569093.8464
269,2006,2006-06-26,1999,"STREAM #1, REACH #1",S2,,6,16,1548399.233,683734.5296
270,2006,2006-07-15,2001,2C,S4,,1,5,998426.1394,610640.7132
271,2006,2006-07-14,2000,S6,S6,0,0.6,3,1381965.818,597435.5594
272,2006,2006-07-19,1998,RIPF#3,S2,,8,5,1105701.563,1666184.5
273,2006,2006-09-14,2001,RIPF#7,S4,,0.5,16,1229652.878,1530959.46
274,2006,2006-07-20,1999,RIPF#2,S4,,1.1,2,1114603.236,1635368.54
275,2006,2006-09-15,1999,RIPF#2,S4,,0.7,6,1108332.812,1633334.222
276,2006,2006-06-27,2003,RIPF#2,S4,,0.7,3,1154381.402,1572119.151
277,2006,2006-09-28,1999,S6 R-1 STREAM#12,S6,,1,17,1002581.776,1132647.255
278,2006,2006-08-11,2000,R1,S4,,1.5,9,1046323.601,1062371.306
279,2006,2006-08-11,2000,R2,S3,,1.7,14,1045562.88,1062865.736
280,2006,2006-09-06,2001,S3,S3,,1.5,1,1005813.801,1128896.133
281,2006,2006-09-06,2001,S4-1,S4,,0.9,7,1005834.831,1127937.616
282,2006,2006-09-06,2001,S4-2,S4,,0.9,6,1006331.088,1128984.725
283,2006,2006-09-06,2001,S5,S5,,2.6,12,1005315.828,1129546.003
284,2006,2006-09-06,2001,S3,S3,,2.6,8,1005309.826,1129219.58
285,2006,2006-08-02,2000,GEORGES CRK,S6,,2,5,1427658.258,632341.7521
286,2006,2006-07-26,2000,NEAR MOSSEY CREEK,S6,0,1,9,1417961.197,674189.7898
287,2006,2006-08-01,2001,NEAR WENTWORTH CRK,S6,,1,12,1395198.255,682083.2893
288,2006,2006-08-14,1999,2,S6,,0.5,7,878498.7982,1056309.575
289,2006,2006-08-16,2000,3,S5,,2.4,7,821698.2534,1114420.807
290,2006,2006-06-01,2001,1-R2,S6,,3,12,839772.9887,1027966.706
291,2006,2006-08-03,1998,UNKNOWN,S3,,3.9,1,1317434.287,768017.1464
292,2006,2006-10-05,2004,UNKNOWN,S3,,2.6,3,1374381.371,760166.4326
293,2006,2006-10-17,1999,HAYWARD CREEK,S3,,3.3,15,752614.2188,1013764
294,2006,2006-08-15,2002,STREAM #3,S6,0,0.6,5,1002465.582,1049593.311
295,2006,2006-06-15,1999,STREAM M,S3,,2.2,3,917545.3782,1024573.553
296,2006,2006-09-15,2002,41-A,S6,,0.2,13,1033479.574,947317.5587
297,2006,2006-05-25,2001,STREAM S R-2,S3,,3.5,10,981338.9283,566006.2775
298,2006,2006-06-13,2002,STREAM 5,S6,,1,13,966752.4578,579871.3372
299,2006,2006-06-14,2004,2,S6,,1.6,25,927058.7365,601483.3124
300,2006,2006-08-02,1998,R1,S6,0,3,1,1283100.946,1340529.56
301,2006,2006-06-08,1999,S6 (894KM),S6,,0.2,30,1212494.553,1120324.44
302,2006,2006-06-07,2001,S6,S6,,0.3,8,1325671.064,1035455.599
303,2006,2006-09-27,1999,26,S6,,1,26,565914.5156,968278.8079
304,2006,2006-07-21,2000,10(1),S6,,1.5,7,569717.4609,1003325.471
305,2006,2006-07-21,2000,LIGNITE CREEK,S1,,20,3,569700.1563,1003113.5
306,2006,2006-07-20,2004,LIGNITE CREEK,S2,,8,3,564132.9954,997339.6746
307,2006,2006-08-02,2001,UNNAMED,S4,0,0.7,1,1215217.998,908997.1377
308,2006,2006-08-02,2001,UNNAMED,S4,0,0.5,0,1218347.417,907888.2197
309,2006,2006-08-01,2001,UNNAMED,S6,,0.4,1,1214283.998,904540.8951
310,2006,2006-08-16,2001,UNNAMED,S6,,1,15,1264834.987,866270.2104
311,2006,2006-06-29,2002,UNKNOWN,S6,,0.9,15,1262192.079,866941.5254
312,2006,2006-08-09,1999,UNNAMED,S3,,3,10,1787296.19,584215.9721
313,2006,2006-07-06,1999,UNNAMED,S3,,2,4,1720649.009,588924.2578
314,2006,2006-08-01,2004,SANDOWN CREEK,S2,,6,3,1723889.454,605163.9513
315,2006,2006-07-20,2000,CREEK 1,S4,,1,4,1089983.112,468795.7641
